Company,LTP (₹),Market Cap (Cr),Volume,Links,Ticker
Expleo Solutions Ltd.,"1,017.30","1,579","18,988",https://www.etmoney.com/stocks/expleo-solutions-ltd/343,EXPLEOSOL
GE Power India Ltd.,234.25,"1,575","1,44,510",https://www.etmoney.com/stocks/ge-power-india-ltd/2084,GEPIL
Suraj Estate Developers Ltd.,329.05,"1,572","1,13,357",https://www.etmoney.com/stocks/suraj-estate-developers-ltd/4501,SURAJEST
Tatva Chintan Pharma Chem Ltd.,668.35,"1,563","31,630",https://www.etmoney.com/stocks/tatva-chintan-pharma-chem-ltd/3137,TATVA
PNB Gilts Ltd.,86.38,"1,555","3,71,528",https://www.etmoney.com/stocks/pnb-gilts-ltd/248,PNBGILTS
Andhra Paper Ltd.,77.91,"1,549","1,16,391",https://www.etmoney.com/stocks/andhra-paper-ltd/121,ANDHRAPAP
Dynamic Cables Ltd.,638.75,"1,548","82,132",https://www.etmoney.com/stocks/dynamic-cables-ltd/2078,DYCL
Jagran Prakashan Ltd.,71.04,"1,546","1,59,568",https://www.etmoney.com/stocks/jagran-prakashan-ltd/2104,JAGRAN
BLS E-Services Ltd.,168.78,"1,533","1,44,109",https://www.etmoney.com/stocks/bls-e-services-ltd/4539,BLSE
ESAF Small Finance Bank Ltd.,29.77,"1,533","5,38,729",https://www.etmoney.com/stocks/esaf-small-finance-bank-ltd/4480,ESAFSFB
Ugro Capital Ltd.,164.54,"1,533","8,55,856",https://www.etmoney.com/stocks/ugro-capital-ltd/65,UGROCAP
G M Breweries Ltd.,670.85,"1,533","19,388",https://www.etmoney.com/stocks/g-m-breweries-ltd/942,GMBREW
Simplex Infrastructures Ltd.,267.30,"1,527","8,881",https://www.etmoney.com/stocks/simplex-infrastructures-ltd/2633,SIMPLEXINF
India Pesticides Ltd.,131.75,"1,517","1,68,184",https://www.etmoney.com/stocks/india-pesticides-ltd/3061,IPL
Sirca Paints India Ltd.,276.80,"1,517","94,272",https://www.etmoney.com/stocks/sirca-paints-india-ltd/2972,SIRCA
Antony Waste Handling Cell Ltd.,533.70,"1,515","80,683",https://www.etmoney.com/stocks/antony-waste-handling-cell-ltd/1689,AWHCL
Orient Green Power Company Ltd.,12.91,"1,514","43,95,136",https://www.etmoney.com/stocks/orient-green-power-company-ltd/1498,GREENPOWER
Uniparts India Ltd.,335.25,"1,513","93,010",https://www.etmoney.com/stocks/uniparts-india-ltd/4263,UNIPARTS
Bombay Super Hybrid Seeds Ltd.,144.07,"1,512","8,984",https://www.etmoney.com/stocks/bombay-super-hybrid-seeds-ltd/2926,BSHSL
Huhtamaki India Ltd.,200.07,"1,511","84,287",https://www.etmoney.com/stocks/huhtamaki-india-ltd/1811,HUHTAMAKI
Carysil Ltd.,527.45,"1,499","1,00,979",https://www.etmoney.com/stocks/carysil-ltd/2704,CARYSIL
Ador Welding Ltd.,860.90,"1,498","34,275",https://www.etmoney.com/stocks/ador-welding-ltd/74,ADORWELD
Astec Lifesciences Ltd.,762.95,"1,496","63,582",https://www.etmoney.com/stocks/astec-lifesciences-ltd/2489,ASTEC
Suraksha Diagnostic Ltd.,287.25,"1,496","56,412",https://www.etmoney.com/stocks/suraksha-diagnostic-ltd/4951,SURAKSHA
Wheels India Ltd.,612.15,"1,496","16,179",https://www.etmoney.com/stocks/wheels-india-ltd/263,WHEELS
Omaxe Ltd.,81.74,"1,495","89,477",https://www.etmoney.com/stocks/omaxe-ltd/2481,OMAXE
Everest Kanto Cylinder Ltd.,133.00,"1,492","3,60,830",https://www.etmoney.com/stocks/everest-kanto-cylinder-ltd/903,EKC
Udaipur Cement Works Ltd.,26.58,"1,490","1,80,158",https://www.etmoney.com/stocks/udaipur-cement-works-ltd/1295,UDAICEMENT
NIBE Ltd.,"1,040.10","1,487","63,926",https://www.etmoney.com/stocks/nibe-ltd/4144,NIBE
Divgi Torqtransfer Systems Ltd.,485.65,"1,485","6,317",https://www.etmoney.com/stocks/divgi-torqtransfer-systems-ltd/4331,DIVGIITTS
Kernex Microsystems (India) Ltd.,882.10,"1,478","1,22,168",https://www.etmoney.com/stocks/kernex-microsystems-india-ltd/3745,KERNEX
Gandhar Oil Refinery (India) Ltd.,150.79,"1,476","1,27,129",https://www.etmoney.com/stocks/gandhar-oil-refinery-india-ltd/4508,GANDHAR
D-Link (India) Ltd.,413.45,"1,468","66,631",https://www.etmoney.com/stocks/d-link-india-ltd/632,DLINKINDIA
Talbros Automotive Components Ltd.,237.30,"1,465","86,310",https://www.etmoney.com/stocks/talbros-automotive-components-ltd/1305,TALBROAUTO
Dreamfolks Services Ltd.,273.75,"1,458","1,65,817",https://www.etmoney.com/stocks/dreamfolks-services-ltd/4198,DREAMFOLKS
Apollo Pipes Ltd.,330.95,"1,458","65,223",https://www.etmoney.com/stocks/apollo-pipes-ltd/1049,APOLLOPIPE
Chaman Lal Setia Exports Ltd.,291.55,"1,450","64,657",https://www.etmoney.com/stocks/chaman-lal-setia-exports-ltd/1713,CLSEL
Mukand Ltd.,99.79,"1,442","97,617",https://www.etmoney.com/stocks/mukand-ltd/2838,MUKANDLTD
MIC Electronics Ltd.,59.66,"1,438","2,59,936",https://www.etmoney.com/stocks/mic-electronics-ltd/3995,MICEL
Dolat Algotech Ltd.,81.67,"1,437","4,25,141",https://www.etmoney.com/stocks/dolat-algotech-ltd/554,DOLATALGO
India Nippon Electricals Ltd.,634.75,"1,436","10,537",https://www.etmoney.com/stocks/india-nippon-electricals-ltd/1130,INDNIPPON
Sterling Tools Ltd.,396.40,"1,434","1,16,883",https://www.etmoney.com/stocks/sterling-tools-ltd/372,STERTOOLS
Renaissance Global Ltd.,133.64,"1,433","11,65,477",https://www.etmoney.com/stocks/renaissance-global-ltd/271,RGL
Jagsonpal Pharmaceuticals Ltd.,214.14,"1,422","1,98,623",https://www.etmoney.com/stocks/jagsonpal-pharmaceuticals-ltd/2182,JAGSNPHARM
Windlas Biotech Ltd.,675.35,"1,415","2,89,544",https://www.etmoney.com/stocks/windlas-biotech-ltd/3161,WINDLAS
Bliss GVS Pharma Ltd.,134.03,"1,412","6,40,594",https://www.etmoney.com/stocks/bliss-gvs-pharma-ltd/2634,BLISSGVS
Shankara Building Products Ltd.,581.30,"1,410","51,182",https://www.etmoney.com/stocks/shankara-building-products-ltd/587,SHANKARA
Agarwal Industrial Corporation Ltd.,941.75,"1,409","25,324",https://www.etmoney.com/stocks/agarwal-industrial-corporation-ltd/2264,AGARIND
Baazar Style Retail Ltd.,188.10,"1,404","3,70,834",https://www.etmoney.com/stocks/baazar-style-retail-ltd/4872,STYLEBAAZA
Dynacons Systems & Solutions Ltd.,"1,098.95","1,398","25,668",https://www.etmoney.com/stocks/dynacons-systems-and-solutions-ltd/351,DSSL
Platinum Industries Ltd.,253.60,"1,393","2,93,747",https://www.etmoney.com/stocks/platinum-industries-ltd/4563,PLATIND
Ester Industries Ltd.,147.80,"1,390","1,60,235",https://www.etmoney.com/stocks/ester-industries-ltd/303,ESTER
Master Trust Ltd.,123.73,"1,389","1,65,400",https://www.etmoney.com/stocks/master-trust-ltd/1531,MASTERTR
HIL Ltd.,"1,841.30","1,389","11,319",https://www.etmoney.com/stocks/hil-ltd/2096,HIL
Sanghi Industries Ltd.,53.70,"1,387","5,68,380",https://www.etmoney.com/stocks/sanghi-industries-ltd/1620,SANGHIIND
Alicon Castalloy Ltd.,850.40,"1,383","15,958",https://www.etmoney.com/stocks/alicon-castalloy-ltd/2471,ALICON
Alldigi Tech Ltd.,905.70,"1,380","13,075",https://www.etmoney.com/stocks/alldigi-tech-ltd/594,ALLDIGI
Raj Rayon Industries Ltd.,24.78,"1,378","13,067",https://www.etmoney.com/stocks/raj-rayon-industries-ltd/3623,RAJRILTD
GRP Ltd.,"2,579.80","1,376",982,https://www.etmoney.com/stocks/grp-ltd/432,GRPLTD
GNA Axles Ltd.,318.85,"1,369","23,442",https://www.etmoney.com/stocks/gna-axles-ltd/1831,GNA
India Power Corporation Ltd.,14.05,"1,368","1,92,277",https://www.etmoney.com/stocks/india-power-corporation-ltd/289,DPSCLTD
Signpost India Ltd.,255.60,"1,366","29,482",https://www.etmoney.com/stocks/signpost-india-ltd/4558,SIGNPOST
Hester Biosciences Ltd.,"1,604.85","1,365","4,349",https://www.etmoney.com/stocks/hester-biosciences-ltd/296,HESTERBIO
Tourism Finance Corporation of India Ltd.,147.29,"1,364","19,05,083",https://www.etmoney.com/stocks/tourism-finance-corporation-of-india-ltd/2467,TFCILTD
Roto Pumps Ltd.,216.75,"1,362","82,027",https://www.etmoney.com/stocks/roto-pumps-ltd/197,ROTO
Orient Technologies Ltd.,325.50,"1,355","1,59,603",https://www.etmoney.com/stocks/orient-technologies-ltd/4864,ORIENTTECH
I G Petrochemicals Ltd.,438.70,"1,351","15,821",https://www.etmoney.com/stocks/i-g-petrochemicals-ltd/1539,IGPL
Arman Financial Services Ltd.,"1,279.65","1,342","29,672",https://www.etmoney.com/stocks/arman-financial-services-ltd/2316,ARMANFIN
IKIO Lighting Ltd.,172.24,"1,331","1,02,454",https://www.etmoney.com/stocks/ikio-lighting-ltd/4371,IKIO
DCM Shriram Industries Ltd.,152.86,"1,330","95,299",https://www.etmoney.com/stocks/dcm-shriram-industries-ltd/2472,DCMSRIND
Sigachi Industries Ltd.,39.68,"1,323","49,23,838",https://www.etmoney.com/stocks/sigachi-industries-ltd/3913,SIGACHI
Monte Carlo Fashions Ltd.,636.80,"1,320","32,120",https://www.etmoney.com/stocks/monte-carlo-fashions-ltd/389,MONTECARLO
Heubach Colorants India Ltd.,571.80,"1,320","50,752",https://www.etmoney.com/stocks/heubach-colorants-india-ltd/1632,HEUBACHIND
IFGL Refractories Ltd.,365.90,"1,319","24,285",https://www.etmoney.com/stocks/ifgl-refractories-ltd/822,IFGLEXPOR
Amines & Plasticizers Ltd.,238.80,"1,314","11,118",https://www.etmoney.com/stocks/amines-and-plasticizers-ltd/2054,AMNPLST
Kabra Extrusion Technik Ltd.,373.90,"1,308","32,036",https://www.etmoney.com/stocks/kabra-extrusion-technik-ltd/2519,KABRAEXTRU
